text,propertyType,locality,furnishing,city,RentOrSale,BHK,URLs
Residential House   Sector-22   Semi-Furnished   Chandigarh   3.0   3.0   Rent,Residential House,Sector-22,Semi-Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1575-Sq-ft-Residential-House-FOR-Rent-Sector-22-in-Chandigarh-r1&id=4d423631303930373731
Residential House   Sector 40   Furnished   Chandigarh   3.0   2.0   Rent,Residential House,Sector 40,Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1800-Sq-ft-Residential-House-FOR-Rent-Sector-40-in-Chandigarh-r6&id=4d423333393130363335
Builder Floor Apartment   Sector 8   Unfurnished   Chandigarh   3.0   3.0   Rent,Builder Floor Apartment,Sector 8,Unfurnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-6000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-8-in-Chandigarh-r3&id=4d423633363031363731
Residential House   Sector-11   Semi-Furnished   Chandigarh   3.0   3.0   Rent,Residential House,Sector-11,Semi-Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-3000-Sq-ft-Residential-House-FOR-Rent-Sector-11-in-Chandigarh-r10&id=4d423334333231383433
Builder Floor Apartment   Sector 28D   Semi-Furnished   Chandigarh   3.0   4.0   Rent,Builder Floor Apartment,Sector 28D,Semi-Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1-Kanal-Builder-Floor-Apartment-FOR-Rent-Sector-28D-in-Chandigarh&id=4d423637333930373937
Builder Floor Apartment   Sector-35   Semi-Furnished   Chandigarh   3.0   3.0   Rent,Builder Floor Apartment,Sector-35,Semi-Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-2500-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-35-in-Chandigarh-r3&id=4d423633363031353731
Villa   Sector 19   Semi-Furnished   Chandigarh   3.0   3.0   Rent,Villa,Sector 19,Semi-Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-5500-Sq-ft-Villa-FOR-Rent-Sector-19-in-Chandigarh&id=4d423637303839373937
Builder Floor Apartment   Sector 27   Semi-Furnished   Chandigarh   3.0   3.0   Rent,Builder Floor Apartment,Sector 27,Semi-Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-2000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-27-in-Chandigarh&id=4d423637333930363237
Studio Apartment   Sector 19   Furnished   Chandigarh   Missing   2.0   Rent,Studio Apartment,Sector 19,Furnished,Chandigarh,Rent,Missing,https://www.magicbricks.com/propertyDetails/1000-Sq-ft-Studio-Apartment-FOR-Rent-Sector-19-in-Chandigarh&id=4d423636383934393539
Builder Floor Apartment   Sector 21D   Semi-Furnished   Chandigarh   4.0   4.0   Rent,Builder Floor Apartment,Sector 21D,Semi-Furnished,Chandigarh,Rent,4.0,https://www.magicbricks.com/propertyDetails/4-BHK-2800-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-21D-in-Chandigarh&id=4d423637333930393735
